epoch,step,train_loss,train_acc,val_loss,val_acc,train_ppl,train_te,val_ppl,val_te,sav_version
23,30000,1.591297182201856e-08,0.9473518864477596,3.47886203516945e-09,0.9474387122840195,2.65644527684649,4.085126444656169e-06,3.1232666053040066,3.757484449673486e-06,8
24,31250,1.5701864296602252e-08,0.9471176104830258,3.416067617702245e-09,0.9470762070510389,2.6689058528024665,4.116715397466425e-06,3.154382407049234,3.8022567668224572e-06,8
25,32500,1.5810037406538412e-08,0.9472133083509334,2.891686492985379e-09,0.9474617183066221,2.667191530765752,4.162906037176278e-06,3.113891539382319,3.979488463768473e-06,8
26,33750,1.5859793300165846e-08,0.9474199265081108,4.72061761270931e-09,0.9474258785660093,2.6591554143235863,4.203335156821313e-06,3.1603113928778,3.9536229954461215e-06,8
27,35000,1.5983542785136252e-08,0.947374231113685,4.28312887221366e-09,0.9470949630513078,2.6514029763068514,4.2376061174699245e-06,3.1323376195352832,3.894860960071404e-06,8
28,36250,1.610419559412435e-08,0.9469473331727375,4.680757012102965e-09,0.9473903388077706,2.6685352567381107,4.286018167199561e-06,3.1242449717192176,4.013041801133742e-06,8
29,37500,1.6170063384635112e-08,0.9473069584364552,4.6902099364712345e-09,0.9470433672908641,2.6466877581677934,4.327677200241798e-06,3.1500485883970994,4.053218471269331e-06,8
30,38750,1.619758396600446e-08,0.947313356325287,5.318573208369648e-09,0.9472790462179337,2.646291468866865,4.352716480496429e-06,3.1144071420393664,4.060091788304089e-06,8
31,40000,1.609404418871918e-08,0.9473832251938246,4.976358769387401e-09,0.9473522255345417,2.6421683020595914,4.368915358476365e-06,3.0941446385994973,4.098712111201759e-06,8
32,41250,1.6165173946802723e-08,0.9474764707217451,5.610193564369037e-09,0.9471034636640591,2.6374785472594287,4.40576861248586e-06,3.15812520187365,4.120584931095461e-06,8
33,42500,1.6180727035219888e-08,0.9471362180404712,5.36073883610072e-09,0.9472952564619865,2.6531113042214325,4.4341943949073405e-06,3.1444561119568424,4.1939628120735565e-06,8
34,43750,1.6258865001361755e-08,0.9470363418783069,4.3635485681495225e-09,0.9474430862549229,2.6606958358369424,4.4606902776761e-06,3.0564093441487947,4.352289091908255e-06,8
